,category,condition
279,T54.1X2A,"Toxic effect of corrosive organic compounds, selfharm, init"
280,T54.1X2D,"Toxic effect of corrosive organic compounds, selfharm, subs"
281,T54.1X2S,"Toxic effect of corrosive organic compnd, selfharm, sequela"
282,T54.1X3A,"Toxic effect of corrosive organic compounds, assault, init"
283,T54.1X3D,"Toxic effect of corrosive organic compounds, assault, subs"
284,T54.1X3S,"Toxic effect of corrosive organic compnd, assault, sequela"
285,T54.1X4A,"Toxic effect of corrosive organic compounds, undet, init"
286,T54.1X4D,"Toxic effect of corrosive organic compounds, undet, subs"
287,T54.1X4S,"Toxic effect of corrosive organic compounds, undet, sequela"
288,T54.2X1A,"Toxic eff of corrosv acids and acidlike substnc, acc, init"
289,T54.2X1D,"Toxic eff of corrosv acids and acidlike substnc, acc, subs"
290,T54.2X1S,"Toxic eff of corrosv acids and acidlike substnc, acc, sqla"
291,T54.2X2A,"Tox eff of corrosv acids & acidlike substnc, slfhrm, init"
292,T54.2X2D,"Tox eff of corrosv acids & acidlike substnc, slfhrm, subs"
293,T54.2X2S,"Tox eff of corrosv acids & acidlike substnc, slfhrm, sqla"
294,T54.2X3A,"Tox eff of corrosv acids and acidlike substnc, asslt, init"
295,T54.2X3D,"Tox eff of corrosv acids and acidlike substnc, asslt, subs"
296,T54.2X3S,"Tox eff of corrosv acids and acidlike substnc, asslt, sqla"
297,T54.2X4A,"Tox eff of corrosv acids and acidlike substnc, undet, init"
298,T54.2X4D,"Tox eff of corrosv acids and acidlike substnc, undet, subs"
299,T54.2X4S,"Tox eff of corrosv acids and acidlike substnc, undet, sqla"
300,T54.3X1A,"Tox eff of corrosv alkalis and alklike substnc, acc, init"
301,T54.3X1D,"Tox eff of corrosv alkalis and alklike substnc, acc, subs"
302,T54.3X1S,"Tox eff of corrosv alkalis and alklike substnc, acc, sqla"
303,T54.3X2A,"Tox eff of corrosv alkalis & alklike substnc, slfhrm, init"
304,T54.3X2D,"Tox eff of corrosv alkalis & alklike substnc, slfhrm, subs"
305,T54.3X2S,"Tox eff of corrosv alkalis & alklike substnc, slfhrm, sqla"
306,T54.3X3A,"Tox eff of corrosv alkalis and alklike substnc, asslt, init"
307,T54.3X3D,"Tox eff of corrosv alkalis and alklike substnc, asslt, subs"
308,T54.3X3S,"Tox eff of corrosv alkalis and alklike substnc, asslt, sqla"
309,T54.3X4A,"Tox eff of corrosv alkalis and alklike substnc, undet, init"
310,T54.3X4D,"Tox eff of corrosv alkalis and alklike substnc, undet, subs"
311,T54.3X4S,"Tox eff of corrosv alkalis and alklike substnc, undet, sqla"
312,T54.91XA,"Toxic effect of unsp corrosive substance, accidental, init"
313,T54.91XD,"Toxic effect of unsp corrosive substance, accidental, subs"
314,T54.91XS,"Toxic effect of unsp corrosive substance, acc, sequela"
315,T54.92XA,"Toxic effect of unsp corrosive substance, selfharm, init"
316,T54.92XD,"Toxic effect of unsp corrosive substance, selfharm, subs"
317,T54.92XS,"Toxic effect of unsp corrosive substance, selfharm, sequela"
318,T54.93XA,"Toxic effect of unsp corrosive substance, assault, init"
319,T54.93XD,"Toxic effect of unsp corrosive substance, assault, subs"
320,T54.93XS,"Toxic effect of unsp corrosive substance, assault, sequela"
321,T54.94XA,"Toxic effect of unsp corrosive substance, undetermined, init"
322,T54.94XD,"Toxic effect of unsp corrosive substance, undetermined, subs"
323,T54.94XS,"Toxic effect of unsp corrosive substance, undet, sequela"
324,T55.0X1A,"Toxic effect of soaps, accidental (unintentional), init"
325,T55.0X1D,"Toxic effect of soaps, accidental (unintentional), subs"
326,T55.0X1S,"Toxic effect of soaps, accidental (unintentional), sequela"
327,T55.0X2A,"Toxic effect of soaps, intentional selfharm, init encntr"
328,T55.0X2D,"Toxic effect of soaps, intentional selfharm, subs encntr"
329,T55.0X2S,"Toxic effect of soaps, intentional selfharm, sequela"
330,T55.0X3A,"Toxic effect of soaps, assault, initial encounter"
331,T55.0X3D,"Toxic effect of soaps, assault, subsequent encounter"
332,T55.0X3S,"Toxic effect of soaps, assault, sequela"
333,T55.0X4A,"Toxic effect of soaps, undetermined, initial encounter"
334,T55.0X4D,"Toxic effect of soaps, undetermined, subsequent encounter"
335,T55.0X4S,"Toxic effect of soaps, undetermined, sequela"
336,T55.1X1A,"Toxic effect of detergents, accidental (unintentional), init"
337,T55.1X1D,"Toxic effect of detergents, accidental (unintentional), subs"
338,T55.1X1S,"Toxic effect of detergents, accidental, sequela"
339,T55.1X2A,"Toxic effect of detergents, intentional selfharm, init"
340,T55.1X2D,"Toxic effect of detergents, intentional selfharm, subs"
341,T55.1X2S,"Toxic effect of detergents, intentional selfharm, sequela"
342,T55.1X3A,"Toxic effect of detergents, assault, initial encounter"
343,T55.1X3D,"Toxic effect of detergents, assault, subsequent encounter"
344,T55.1X3S,"Toxic effect of detergents, assault, sequela"
345,T55.1X4A,"Toxic effect of detergents, undetermined, initial encounter"
346,T55.1X4D,"Toxic effect of detergents, undetermined, subs encntr"
347,T55.1X4S,"Toxic effect of detergents, undetermined, sequela"
348,T56.0X1A,"Toxic effect of lead and its compounds, accidental, init"
349,T56.0X1D,"Toxic effect of lead and its compounds, accidental, subs"
350,T56.0X1S,"Toxic effect of lead and its compounds, accidental, sequela"
351,T56.0X2A,"Toxic effect of lead and its compounds, selfharm, init"
352,T56.0X2D,"Toxic effect of lead and its compounds, selfharm, subs"
353,T56.0X2S,"Toxic effect of lead and its compounds, selfharm, sequela"
354,T56.0X3A,"Toxic effect of lead and its compounds, assault, init encntr"
355,T56.0X3D,"Toxic effect of lead and its compounds, assault, subs encntr"
356,T56.0X3S,"Toxic effect of lead and its compounds, assault, sequela"
357,T56.0X4A,"Toxic effect of lead and its compounds, undetermined, init"
358,T56.0X4D,"Toxic effect of lead and its compounds, undetermined, subs"
359,T56.0X4S,"Toxic effect of lead and its compounds, undet, sequela"
360,T56.1X1A,"Toxic effect of mercury and its compounds, accidental, init"
361,T56.1X1D,"Toxic effect of mercury and its compounds, accidental, subs"
362,T56.1X1S,"Toxic effect of mercury and its compounds, acc, sequela"
363,T56.1X2A,"Toxic effect of mercury and its compounds, selfharm, init"
364,T56.1X2D,"Toxic effect of mercury and its compounds, selfharm, subs"
365,T56.1X2S,"Toxic effect of mercury and its compnd, selfharm, sequela"
366,T56.1X3A,"Toxic effect of mercury and its compounds, assault, init"
367,T56.1X3D,"Toxic effect of mercury and its compounds, assault, subs"
368,T56.1X3S,"Toxic effect of mercury and its compounds, assault, sequela"
369,T56.1X4A,"Toxic effect of mercury and its compounds, undet, init"
370,T56.1X4D,"Toxic effect of mercury and its compounds, undet, subs"
371,T56.1X4S,"Toxic effect of mercury and its compounds, undet, sequela"
372,T56.2X1A,"Toxic effect of chromium and its compounds, acc, init"
373,T56.2X1D,"Toxic effect of chromium and its compounds, acc, subs"
374,T56.2X1S,"Toxic effect of chromium and its compounds, acc, sequela"
375,T56.2X2A,"Toxic effect of chromium and its compounds, selfharm, init"
376,T56.2X2D,"Toxic effect of chromium and its compounds, selfharm, subs"
377,T56.2X2S,"Toxic effect of chromium and its compnd, selfharm, sequela"
378,T56.2X3A,"Toxic effect of chromium and its compounds, assault, init"
379,T56.2X3D,"Toxic effect of chromium and its compounds, assault, subs"
380,T56.2X3S,"Toxic effect of chromium and its compounds, assault, sequela"
381,T56.2X4A,"Toxic effect of chromium and its compounds, undet, init"
382,T56.2X4D,"Toxic effect of chromium and its compounds, undet, subs"
383,T56.2X4S,"Toxic effect of chromium and its compounds, undet, sequela"
384,T56.3X1A,"Toxic effect of cadmium and its compounds, accidental, init"
385,T56.3X1D,"Toxic effect of cadmium and its compounds, accidental, subs"
